channel_id	title	tags	country	default_language	videoCount	viewCount	subscriberCount	thumbnail
UCw8ZhLPdQ0u_Y-TLKd61hGA	1MILLION Dance Studio	['Hip hop music', 'Performing arts', 'Entertainment', 'Music', 'Pop music']	KR	ko	2260	5857240247	22500000	https://yt3.ggpht.com/a/AATXAJwrA3MvQMvzoDYrUZwjnlcn_SS7MZADC1jdjGLxEQ=s800-c-k-c0x00ffffff-no-rj
UCOmHUn--16B90oW2L6FRR3A	BLACKPINK	['Hip hop music', 'Music', 'Music of Asia']	KR	NA	322	13433897250	52900000	https://yt3.ggpht.com/a/AATXAJwgwcqoiYKn7umZJ1KFC1M2tCjqc_Di3i0d3Ooj7Q=s800-c-k-c0x00ffffff-no-rj-mo
UCepUWUpH45hRTi-QePdq1Bg	Mnet Official	['Entertainment', 'Performing arts', 'Hip hop music', 'Music']	KR	NA	15987	7525207894	7750000	https://yt3.ggpht.com/a/AATXAJzzvexucXjd_n5jIRvEghUotrFvcZ-wR80aPeIw2Q=s800-c-k-c0x00ffffff-no-rj
UCczFdwWpVEpoqb-eMm4c4dQ	Matt Steffanina	['Hip hop music', 'Music', 'Performing arts', 'Entertainment', 'Pop music', 'Music of Latin America']	US	NA	376	2262509454	12000000	https://yt3.ggpht.com/a/AATXAJy3Khj9Z6xj70ReiVV2j5ua_p-VzeXZrFTCttFr=s800-c-k-c0x00ffffff-no-rj
UC9avFXTdbSo5ATvzTRnAVFg	FUNG BROS.	['Food', 'Lifestyle (sociology)', 'Hip hop music']	US	NA	880	424295946	2130000	https://yt3.ggpht.com/a/AATXAJzPnhwAx6pJa3a_ZcGD0Asi8uW4Z7qFE4hoUvnY=s800-c-k-c0x00ffffff-no-rj
UC8xib1EjaAbsstncxXSUNZg	Official World of Dance	['Hip hop music', 'Performing arts', 'Entertainment', 'Music']	US	NA	6868	1174762530	5460000	https://yt3.ggpht.com/ytc/AAUvwnhcK_0M3Etwl6z8KvLAj4EuzJXag-lokAUc-fQh8g=s800-c-k-c0x00ffffff-no-rj
UCweazuUMMKdL2wwSyrxla9A	RaeSremmurdVEVO	['Music', 'Hip hop music']	NA	en	50	3558429843	5420000	https://yt3.ggpht.com/a/AATXAJxlC20vW9J5IjNCIOba7-xXna36Z_RZ6yHU7sGHIQ=s800-c-k-c0x00ffffff-no-rj-mo
UCx26KtPU7eYKxyOblAxAkdQ	Qveen Herby	['Soul music', 'Hip hop music', 'Music', 'Rhythm and blues']	US	NA	63	160403819	1810000	https://yt3.ggpht.com/a/AATXAJxHIxV9txCgvtFqt_fChdnvv_SYnL3m6KUiguFZfg=s800-c-k-c0x00ffffff-no-rj-mo
UC2Qw1dzXDBAZPwS7zm37g8g	COLORS	['Music', 'Hip hop music']	DE	NA	455	1597256417	4980000	https://yt3.ggpht.com/a/AATXAJxQHJ7mOIpO1OYocXxUviIZ2VqUKvQGw9-y2Hz7kA=s800-c-k-c0x00ffffff-no-rj
UCtnboZiB_Nqif-YNtp4aB7A	DanceOn	['Music', 'Performing arts', 'Entertainment', 'Hip hop music']	NA	en	2079	631260663	1850000	https://yt3.ggpht.com/a/AATXAJxT7sAhEf-AQmQpj4hSq294sYqj8-KbgRRH1iKaKA=s800-c-k-c0x00ffffff-no-rj
UCgvtcyd8Cc_46jxu4Ejc6dA	UrbanRecTv	['Music', 'Hip hop music']	PL	NA	1160	868864627	1500000	https://yt3.ggpht.com/a/AATXAJzC64mfobslcpOGGYv9hOPGE7BaR3rUbS_dA2g=s800-c-k-c0x00ffffff-no-rj
UCFHl-NvbOY_EBCrz9iy984w	Daichi Beatboxer	['Entertainment', 'Hip hop music', 'Music']	NA	NA	524	421201749	1270000	https://yt3.ggpht.com/a/AATXAJzpfgv1QRhpzgU6At27JW0KrZpBtARZFJbLoZzlcQ=s800-c-k-c0x00ffffff-no-rj
UCOiFUE8BrJaAje9IlSmzCtg	Saskia's Dansschool	['Entertainment', 'Performing arts', 'Physical fitness', 'Hobby', 'Lifestyle (sociology)', 'Music']	NL	NA	270	1215201585	5740000	https://yt3.ggpht.com/a/AATXAJw8yQMqKlvLRUffKyQ2Bzo1FH_cfdNzvR9Ws0uDXw=s800-c-k-c0x00ffffff-no-rj
UCi_XQVMRd0hrj6Ka0yCnR3A	Fuse	['Hip hop music', 'Music', 'Lifestyle (sociology)', 'Entertainment']	US	NA	4714	309200901	997000	https://yt3.ggpht.com/a/AATXAJwTze7cU4SpDBXsMnJ3Mt50yq4uQT9QuhWzHtFaAQ=s800-c-k-c0x00ffffff-no-rj
UCOiUKJ6lMU3yHbVNtNXJyfw	NBC World of Dance	['Entertainment', 'Music', 'Performing arts', 'Television program', 'Pop music']	US	NA	121	34288129	2330000	https://yt3.ggpht.com/a/AATXAJy0vUXjCj11M8SgRcNfviWp0a9gGgBiw3KJgchwCg=s800-c-k-c0x00ffffff-no-rj
UCdvQi8n5nSPnAVZ-xwJAMAg	Music of FOX	['Television program', 'Music', 'Pop music', 'Entertainment']	US	NA	367	238025200	1380000	https://yt3.ggpht.com/a/AATXAJw7D4vRD5c9Dd6qhujUSpe0kcOlGCBxEOypFfsBOQ=s800-c-k-c0x00ffffff-no-rj
UC1iqebKNH36JIdBIjEy8-iQ	Pixl Networks	['Hip hop music', 'Music', 'Pop music', 'Electronic music']	NA	NA	71	1503735723	4030000	https://yt3.ggpht.com/a/AATXAJwysPX86TPUYbiZytMdgZZIZjKqDQzj2hl19ER-qA=s800-c-k-c0x00ffffff-no-rj
UCZUhx8ClCv6paFW7qi3qljg	TJ KARAOKE TJ 노래방 공식 유튜브채널	['Hip hop music', 'Music of Asia', 'Music']	KR	ko	48080	979841881	978000	https://yt3.ggpht.com/a/AATXAJzpEEiVqAx25BvVf0sOlb5zeoIC9S7akXS2ZZK2CQ=s800-c-k-c0x00ffffff-no-rj
UCmRY4NSGK52lP_Lz11CjdYw	Vy Qwaint	['Entertainment', 'Hip hop music', 'Music']	US	NA	350	3275687101	9410000	https://yt3.ggpht.com/a/AATXAJxM07fiWBwXPoHTJGmHo9VGe5TlkprSRqu1OOdFZw=s800-c-k-c0x00ffffff-no-rj
UC2eT85Wb209TNxMYipniiMw	Yarmak Music	['Music', 'Hip hop music']	UA	NA	95	232645048	949000	https://yt3.ggpht.com/a/AATXAJx0jolzZGMj_1ZHeTwK8oCxGPfAoSkl0Gd4JODghg=s800-c-k-c0x00ffffff-no-rj-mo
UCTFuNYrqAcsmSjgqYMvxOqw	Home Free	['Country music', 'Music']	NA	NA	211	390674681	1110000	https://yt3.ggpht.com/a/AATXAJwWDCJrJkbxY8HPr3ahdG4R9Ndd2uB6kpbQxO6AKQ=s800-c-k-c0x00ffffff-no-rj-mo
UCStBfpQeA4imrUzPJoTXoFA	CMT	['Music', 'Country music', 'Entertainment']	US	NA	1870	75744250	252000	https://yt3.ggpht.com/a/AATXAJxlcQ3fm37GDu_Ca5gZMf3C3yrEtkwFi-1r2E0F2l0=s800-c-k-c0x00ffffff-no-rj
UCNHPGYg-YbI4gCiOSJXD41A	Sleepy Man	['Music', 'Country music']	US	NA	53	61171403	151000	https://yt3.ggpht.com/a/AATXAJzVO2YfLVtyZYBscbpS3tYMCLlE1sDR8Z2PFlKgzw=s800-c-k-c0x00ffffff-no-rj
