channel_id	description
UCw8ZhLPdQ0u_Y-TLKd61hGA	"South Korea, Seoul

1MILLION Dance Studio"
UCOmHUn--16B90oW2L6FRR3A	"BLACKPINK Official YouTube Channel
블랙핑크 공식 유튜브 채널입니다.

JISOO, JENNIE, ROSÉ, LISA
지수, 제니, 로제, 리사"
UCepUWUpH45hRTi-QePdq1Bg	"Official Channel of World's #1 Music Channel ""Mnet"" 

ⓒCJ ENM. Corp ALL RIGHTS RESERVED

■Mnet K-POP YouTube Channel: https://www.youtube.com/Mnet
■Mnet Official Facebook: https://www.facebook.com/MnetOfficial"
UCczFdwWpVEpoqb-eMm4c4dQ	"Hey guys, thanks for checking out my channel.  I moved to LA 10 years ago to pursue my dreams of becoming a professional dancer and DJ.  Thanks to you guys so many of those dreams have come true from dancing on shows such as So You Think You Can Dance, Step Up, Ellen, and worked with artists like Taylor Swift, Jason Derulo and Meghan Trainor.

I also have an Online Dance Academy called DNCR (www.dncr.com) where me and my dancers teach people like you how to dance.  We have courses for brand new beginners all the way up through professional level, so if you've ever wanted to try dancing make sure you check out the website!

ps - you can find me on social media @MattSteffanina"
UC9avFXTdbSo5ATvzTRnAVFg	"**NEW VIDEOS MONDAYS AND THURSDAYS**

Two brothers seeking the truth by. 

We're available for stand up comedy, music performances, hosting gigs, and panel discussions. 
For booking or sponsorship: info@fungbrothers.com



Channel art by: IG @commandercodes"
UC8xib1EjaAbsstncxXSUNZg	"If you're looking for the world's sickest moves, you've found them. With global dance competitions spanning 25 countries, partnerships with the industry’s hottest dancers, and a passionate community of fans and artists, World of Dance is the leading authority on dance culture and lifestyle. What’s more, we’re helping expand the power of creative expression beyond what happens on stage. Whether you’re a dancer, designer, artist, or musician, World of Dance is shining a spotlight on your unique, awesome self. Check out our videos, showcase your talent, and join the movement!

For collaborations and business inquiries, please visit worldofdance.com."
UCweazuUMMKdL2wwSyrxla9A	"Rae Sremmurd is a Tupelo, MS born hip hop duo comprised of brothers Swae Lee and Slim Jxmmi. 

The pair signed to EarDrummers Entertainment on January 1, 2014. They released their debut album, SremmLife, on January 6, 2015 which debuted at number 5 on the US Billboard 200.  Its lead single, ""No Flex Zone,” released in 2014, gained considerable attention after it was officially remixed featuring rappers Nicki Minaj and Pusha T. The single peaked at number 36 on the US Billboard Hot 100. Their second single, ""No Type"" climbed to number 16 on the Billboard Hot 100. Both singles were certified platinum by the Recording Industry Association of America (RIAA).

On August 12 2016, Rae Sremmurd released their second studio album, SremmLife 2, on Ear Drummer Records/ Interscope Records. The album includes the duo’s first Billboard number-one song ""Black Beatles"", which topped the chart in the issue dated November 26, 2016 and held the number one spot for seven consecutive weeks."
UCx26KtPU7eYKxyOblAxAkdQ	"i’m qveen herby. my friends call me qveen and herby reminds me where I come from, the beautiful but isolated bible belt state of nebraska. i learned to sing & perform for my aunts & uncles in the living room during football games. i scared the shit outta my parents when i moved to boston to get a music degree then blew up on fucking youtube with my boyfriend (now producer, jedii nick). we signed a big fat record deal, moved to LA, and toured as Karmin for 5 years. saw some incredible shit, only thanks to incredible fans. i design my own merch and started a dope makeup line with my bff audrey (qveenstudio.com)!

reinventing myself as qveen herby was easy because for the first time i have a real mission. i am here to empower you with my music. i am living fucking proof that you can be and have ANYTHING you want."
UC2Qw1dzXDBAZPwS7zm37g8g	"COLORSXSTUDIOS is a unique aesthetic music platform showcasing exceptional talent from around the globe. COLORS focuses on the most distinctive new artists and original sounds in an increasingly fragmented and saturated scene. All COLORS shows seek to provide clear, minimalistic stage that shines a spotlight on the artists, giving them the opportunity to present their music without distraction.

@colorsxstudios on all socials

https://colors.lnk.to/sub2yt
https://colors.lnk.to/fb
https://colors.lnk.to/insta
https://colors.lnk.to/twitter"
UCtnboZiB_Nqif-YNtp4aB7A	"DanceOn creates the most buzzworthy music and pop culture programming for millennials and Gen Z seeking entertainment everywhere.

ARTIST REQUEST merges music artists with industry leading choreographers and dancers to create videos that captivate the new generation. The Dance Video is the New Music Video

TOP 5: Want to be discovered and a chance to be seen by millions? GOALS. Create original videos during open #challenges for a chance to be featured in our Top 5.

SPOTLIGHT features exclusive one-of-a-kind interviews with the biggest names in the world of Dance. Get to know more about your favorite dancers and choreographers every week in these candid conversations that will inspire you to move!

DANCE SHOWDOWN: The biggest YouTube, Vine, Snapchat and Instagram stars learn to dance and compete for the chance to win cash prizes in the most-watched competition show on YouTube."
UCgvtcyd8Cc_46jxu4Ejc6dA	UrbanRecTv - najlepsza muzyka pod słońcem!
UCFHl-NvbOY_EBCrz9iy984w	"i'm Japanese human beatboxer.

▼Beatboxer - Daichi▼
https://www.youtube.com/user/daichibeatboxer

▼Contact - 吉田正樹事務所▼
http://www.yoshidamasaki.com/"
UCOiFUE8BrJaAje9IlSmzCtg	"We love to bring you joy with easy fitness choreography's for kids and adults! Free tutorials (step-by-step/paso-a-paso) you can find at our 2nd channel Thestarfactory - dancetutorials

Our danceschool has got 2 locations in The Netherlands (Woerden - Harmelen). We teach classes Zumba, XCO, Keepfit, Body&Balance, streetdance/hiphop. Demonstrationteams/Showteams in all ages.

DANCE*JUMP*SWEAT*ENJOY


www.thestarfactory.nl - www.saskiasdansschool.nl"
UCi_XQVMRd0hrj6Ka0yCnR3A	Fuse is empowering entertainment for young, diverse cultural adventurists. We celebrate artists, activists, and creators who break boundaries and challenge the status quo. Watch exclusive short-form originals like: ‘Mind Massage,’ ‘Lie Detector,’ and ‘Wreckcreation’—all featuring the hottest new artists in music. Plus, exclusive clips of ‘The Read with Kid Fury and Crissle,’ ‘T-Pain’s School Of Business,’ ‘Big Boy’s Neighborhood,’ and ‘Sugar And Toys.’
UCOiUKJ6lMU3yHbVNtNXJyfw	"NBC's hit dance competition series ""World of Dance"" is back for its fourth season and once again led by a judging panel of extraordinary dance superstars - Jennifer Lopez (who also serves as an executive producer), Derek Hough and NE-YO. Scott Evans returns as host. 
The series, from Universal Television Alternative Studio and Nuyorican Productions, gives dancers the platform to showcase their talents for the opportunity to receive a life-altering grand prize of $1 million and the title of best dancer in the world. In partnership with preeminent global dance brand World of Dance, the series brings the world's elite dancers together to compete in epic performances of artistry, precision and athleticism. Solo dancers will compete against duos and crews in an unlimited range of dance, including hip-hop, contemporary, ballet, break-dancing, ballroom and more.

World of Dance is available now on Peacock"
UCdvQi8n5nSPnAVZ-xwJAMAg	"Welcome to the Music of FOX YouTube Channel!
__________________________________

This channel provides musical content, original series and exclusive behind the scenes access to FOX talent, songwriters and more.
__________________________________

#MusicOfFOX"
UC1iqebKNH36JIdBIjEy8-iQ	"Keeping you on top of the hottest music trends 🔥

Pixl Networks is among YouTube's leading music distributors. We are the driving force behind third-party promotion of popular music on YouTube. Having contributed to the growing music industry for half a decade, our innovative approach to music enables us to actively work with the biggest record companies in the world."
UCZUhx8ClCv6paFW7qi3qljg	"TJ 노래방 공식 유튜브 채널입니다. 

원하는 곡을 찾아 플레이를 하면 반주와 함께 가사가 보여져 

언제 어디서나 노래방처럼 노래할 수 있습니다. 

독음 가사도 나와 외국인도 즐길 수 있습니다.

가요, 팝송, 발라드, 댄스, 힙합, 트로트, 노래방 인기곡 등 

다양한 장르의 반주가 수록되어 있고

매일매일 따끈따끈한 최신곡이 업데이트됩니다. 

TJ KARAOKE에 있는 곡은 TJ 노래방에서도 부를 수 있습니다. 

TJ KARAOKE 유튜브 노래방으로 노래 연습하고 

TJ 노래방에 가서 노래 실력을 뽐내보세요! 

노래방 업계 최초 코스닥 상장 기업이며 업계 매출 1위인 TJ미디어가 

“노래하는 즐거움”을 고객과 나누기 위해 TJ KARAOKE 채널을 운영하고 있습니다. 

많은 관심과 이용바랍니다. 

감사합니다. 

▣ 더 많은 TJ 노래방을 즐기시려면?

▶ 웹 : http://www.ziller.co.kr

▶ TJ노래방 질러쏭

▶ TJ노래방 모바일 앱  
     다운받으러 가기 :  https://goo.gl/Y1eD3z

▶ 질러 TV 노래방

Welcome to TJ Karaoke Official Youtube Channel

If you want more K-Pop Karaoke? Subscribe TJ KARAOKE !!

http://www.youtube.com/user/ziller

K-Pop Karaoke will be updated everyweek

▣ Another TJ Karaoke Service?
▶ WEBSITE Visit : http://www.ziller.co.kr (WEB Karaoke)
▶ TJ Karaoke  Mobile : Android/IOS
▶ TJ TV Karaoke (Korean ONLY) : KT OllehTV , LG U+TV, SK BTV"
UCmRY4NSGK52lP_Lz11CjdYw	"Hi, my name is Vy! I make lifestyle hack videos for laid-back girly girls. If you like fashion, makeup and DIYs but you don't want to spend a lot of time doing it, than you are in the right place!

WRITE TO ME!

Vy Qwaint
new address coming soon..."
UC2eT85Wb209TNxMYipniiMw	"Официальный канал рэп-исполнителя YARMAK.

По вопросам букинга:  
yarmakconcert@gmail.com 
+38(098)776-48-48 (Роман)

Instagram: https://www.instagram.com/yarmak_music/
FB оф. - https://www.facebook.com/yarmakmusic
Оф. группа - https://vk.com/yarmakmusic
Оф. сайт - http://yarmakmusic.com"
UCTFuNYrqAcsmSjgqYMvxOqw	"We're Home Free. 

Warmest Winter, our new holiday album, is out now!

Austin Brown - Nashville, TN by way of Tifton, GA
Adam Chance - Los Angles, CA by way of Bay Minette, AL
Tim Foust - Nashville, TN by way of Beaumont, TX
Rob Lundquist - Minneapolis, MN
Adam Rupp - Minneapolis, MN

We're the world's only all-vocal country band.  Everything you hear on our channels is made by the human voice, including all those crazy drum sounds made by Adam Rupp.

We're constantly making music and music videos. Hope you'll stick around and check 'em out."
UCStBfpQeA4imrUzPJoTXoFA	CMT is where all your favorite shows and country stars collide. Be sure to subscribe for all the latest exclusive interviews, behind-the-scenes clips, and more.
UCNHPGYg-YbI4gCiOSJXD41A	"New Jersey's teen brothers A.K.A. Sleepy Man continue to drop unique and catchy songs anchored by the the driving banjo of 14 year old Jonny Mizzone. ""Their act features sweet lyrics harmonized over driving tempos that crescendo before retreating, only to rise again. Their sound is topped with complicated melodies that fly up and down with fury as they put a youthful, rocked-out twist on Bluegrass.” Burton Snowboards / Burton Girls #sleepyman http://sleepyman.com"
UCBWjJaTpplJdqMSTRT5ZRug	Welcome to Country Now -- your online destination for the latest in modern country music and culture. Stop on by every day to catch Nashville's best tunes, fashion, concerts and comedy. Yee-haw, ya'll.
UC0N2JCPta-vcvfffDZRTykw	The Grand Ole Opry is the show that made country music famous. Emanating from Nashville, TN since 1925, the Opry showcases the new stars, legends, and superstars of country music. Visit opry.com for more information.
UCKTgj8r-wp80wJgDxhc6jpA	Carrie Underwood on Vevo - Official Music Videos, Live Performances, Interviews and more...
