channel_id,subcategory,category
UCw8ZhLPdQ0u_Y-TLKd61hGA,Hip hop music,music
UCOmHUn--16B90oW2L6FRR3A,Hip hop music,music
UCepUWUpH45hRTi-QePdq1Bg,Hip hop music,music
UCczFdwWpVEpoqb-eMm4c4dQ,Hip hop music,music
UC9avFXTdbSo5ATvzTRnAVFg,Hip hop music,music
UC8xib1EjaAbsstncxXSUNZg,Hip hop music,music
UCweazuUMMKdL2wwSyrxla9A,Hip hop music,music
UCx26KtPU7eYKxyOblAxAkdQ,Hip hop music,music
UC2Qw1dzXDBAZPwS7zm37g8g,Hip hop music,music
UCtnboZiB_Nqif-YNtp4aB7A,Hip hop music,music
UCgvtcyd8Cc_46jxu4Ejc6dA,Hip hop music,music
UCFHl-NvbOY_EBCrz9iy984w,Hip hop music,music
UCOiFUE8BrJaAje9IlSmzCtg,Hip hop music,music
UCi_XQVMRd0hrj6Ka0yCnR3A,Hip hop music,music
UCOiUKJ6lMU3yHbVNtNXJyfw,Hip hop music,music
UCdvQi8n5nSPnAVZ-xwJAMAg,Hip hop music,music
UC1iqebKNH36JIdBIjEy8-iQ,Hip hop music,music
UCZUhx8ClCv6paFW7qi3qljg,Hip hop music,music
UCmRY4NSGK52lP_Lz11CjdYw,Hip hop music,music
UC2eT85Wb209TNxMYipniiMw,Hip hop music,music
UCTFuNYrqAcsmSjgqYMvxOqw,Country,music
UCStBfpQeA4imrUzPJoTXoFA,Country,music
UCNHPGYg-YbI4gCiOSJXD41A,Country,music
UCBWjJaTpplJdqMSTRT5ZRug,Country,music
UC0N2JCPta-vcvfffDZRTykw,Country,music
UCKTgj8r-wp80wJgDxhc6jpA,Country,music
UCL-0gAth4u6Wp-9_98XU3nA,Country,music
UC1_7Qeu1LdDy5PTZ0vQE_sA,Country,music
UCBxZZfQ8R2xtk0YEU1d8l4Q,Country,music
UCOnoQYeFSfH0nsYv0M4gYdg,Country,music
UCH5oChsU9MVM7gIqBolNKGQ,Country,music
UCWqvhmZyB66eKv01SiH_Kjg,Country,music
UCy5QKpDQC-H3z82Bw6EVFfg,Country,music
UCw1jzpWLPERKng35P3vN78A,Country,music
UCJQplYDHQjYbmADXC-_y27Q,Country,music
UCsEKCm_-rtFSFarMiskZI3w,Country,music
UClcR5Ho9kfnj40zaN1enC-Q,Country,music
UC2RaZgpzFbucwZ1ud6i7q-w,Country,music
UCxwcuOcJCJVDm_BRKYJ2Vdg,Country,music
UC-rslgbv6TTM94dLc4Z0U5w,Country,music
UCORIeT1hk6tYBuntEXsguLg,Jazz,music
UCLue5AhDOIpePYzlc3rOVVQ,Jazz,music
UCwDeWP_zZhqYMSj7W2z5mVg,Jazz,music
UC2DyPD59ZXz2Jt-gy9twYiA,Jazz,music
UCirPLQsYtHWBmalEbX1LcAA,Jazz,music
UCam8VtqRmUKCD-HWZgHtMEg,Jazz,music
UCiReSwhx7y_LpNFNg4GCuCQ,Jazz,music
UCUmqK1oeMpSfRQ6oUpiYKHA,Jazz,music
UC_OtnV-9QZmBj6oWBelMoZw,Jazz,music
UClw8Huc_XZcz46GJh5Z0wuA,Jazz,music
UCGW-Pf2Tzy4lnbVc1HW_m3A,Jazz,music
UC9vGD_KFNiQOHSeUoxIM3yQ,Jazz,music
UCjvZB8bh7MtsVFS7m-pEzuw,Jazz,music
UCtmY49Zn4l0RMJnTWfV7Wsg,Jazz,music
UCPl2RYo0lLLqj8RaEADYclg,Jazz,music
UCfy5pDNFUIpyXiqKn-CB2gg,Jazz,music
UCnjQCcLxBqelGn0sForpAqA,Jazz,music
UCEXDaXzYhqYdLCQ3Ce7U2Og,Jazz,music
UCqepSCHTyWj4BzHxEEUNvlg,Jazz,music
UCtCM_6Hb76yWu2oKS59l-mw,Jazz,music
UCHkj014U2CQ2Nv0UZeYpE_A,Pop music,music
UCANLZYMidaCbLQFWXBC95Jg,Pop music,music
UCbW18JZRgko_mOGm5er8Yzg,Pop music,music
UCmv1CLT6ZcFdTJMHxaR9XeA,Pop music,music
UCpdK1NLHxEUGXc1gq2NxkTw,Pop music,music
UCyC_4jvPzLiSkJkLIkA7B8g,Pop music,music
