topicId,SubCategory,Category
/m/0glt670,Hip hop music,music
/m/01lyv,Country,music
/m/03_d0,Jazz,music
/m/064t9,Pop music,music
/m/06by7,Rock music,music
/m/018jz,Baseball,sports
/m/018w8,Basketball,sports
/m/02vx4,Football,sports
/m/07bs0,Tennis,sports
/m/07_53,Volleyball,sports
/m/095bb,Animated cartoon,entertainment
/m/09kqc,Humor,entertainment
/m/02vxn,Movies,entertainment
/m/05qjc,Performing arts,entertainment
/m/032tl,Fashion,lifestye
/m/027x7n,Fitness,lifestye
/m/02wbm,Food,lifestye
/m/0kt51,Health,lifestye
/m/03glg,Hobby,lifestye
/m/041xxh,Beauty,lifestye
/m/068hy,Pets,lifestye
/m/07c1v,Technology,lifestye
/m/07bxq,Tourism,lifestye
/m/07yv9,Vehicles,lifestye
/m/01k8wb,Knowledge,knowledge
/m/098wr,Society,society
